,,,,,,,,,,,Female population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
8539,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1974,  6 720,  5 360,  4 622,  3 756,  2 968,  2 501,  2 203,  1 883,  1 608,  1 368,  1 141,   919,   701,   482,   314,   163,   58,   11,   1,   0,   0
8540,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1975,  6 944,  5 476,  4 730,  3 885,  3 094,  2 522,  2 246,  1 919,  1 637,  1 395,  1 168,   944,   727,   500,   327,   171,   62,   12,   1,   0,   0
8541,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1976,  7 161,  5 606,  4 801,  4 003,  3 229,  2 581,  2 294,  1 956,  1 667,  1 420,  1 193,   968,   753,   522,   341,   181,   67,   13,   1,   0,0
8542,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1977,  7 342,  5 772,  4 873,  4 111,  3 362,  2 659,  2 340,  1 993,  1 698,  1 445,  1 216,   993,   777,   546,   353,   190,   72,   15,   1,   0,0
8543,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1978,  7 491,  5 970,  4 951,  4 205,  3 493,  2 767,  2 373,  2 032,  1 731,  1 469,  1 238,  1 017,   799,   571,   366,   200,   76,   17,   1,   0,0
8544,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1979,  7 636,  6 181,  5 036,  4 283,  3 618,  2 908,  2 393,  2 074,  1 764,  1 493,  1 259,  1 040,   820,   595,   379,   209,   80,   18,   2,   0,0
8545,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1980,  7 779,  6 400,  5 136,  4 345,  3 737,  3 052,  2 428,  2 119,  1 797,  1 517,  1 280,  1 062,   841,   617,   393,   217,   84,   20,   2,   0,0
8546,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1981,  7 928,  6 613,  5 284,  4 418,  3 851,  3 188,  2 492,  2 171,  1 836,  1 546,  1 304,  1 084,   861,   637,   409,   225,   88,   21,   2,   0,0
8547,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1982,  8 083,  6 796,  5 491,  4 516,  3 959,  3 321,  2 578,  2 227,  1 882,  1 585,  1 333,  1 108,   882,   655,   426,   231,   91,   22,   2,   0,0
8548,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1983,  8 228,  6 953,  5 713,  4 626,  4 059,  3 449,  2 691,  2 272,  1 934,  1 627,  1 363,  1 133,   903,   672,   443,   238,   95,   23,   2,   0,0
8549,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1984,  8 349,  7 107,  5 929,  4 745,  4 150,  3 572,  2 833,  2 302,  1 990,  1 672,  1 394,  1 158,   924,   688,   461,   245,   98,   24,   3,   0,0
8550,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1985,  8 448,  7 261,  6 137,  4 875,  4 232,  3 690,  2 976,  2 344,  2 048,  1 718,  1 426,  1 183,   946,   705,   477,   254,   102,   25,   3,   0,0
8551,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1986,  8 513,  7 419,  6 325,  5 017,  4 312,  3 804,  3 108,  2 410,  2 107,  1 765,  1 459,  1 209,   967,   722,   492,   264,   105,   26,   3,   0,0
8552,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1987,  8 540,  7 583,  6 476,  5 182,  4 401,  3 914,  3 236,  2 491,  2 164,  1 813,  1 495,  1 235,   988,   740,   506,   275,   108,   27,   3,   0,0
8553,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1988,  8 540,  7 738,  6 603,  5 361,  4 500,  4 015,  3 361,  2 599,  2 207,  1 864,  1 534,  1 261,  1 009,   757,   519,   286,   111,   27,   3,   0,0
8554,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1989,  8 532,  7 872,  6 732,  5 540,  4 609,  4 107,  3 479,  2 734,  2 236,  1 917,  1 574,  1 287,  1 030,   774,   531,   296,   114,   28,   3,   0,0
8555,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1990,  8 516,  7 988,  6 870,  5 718,  4 728,  4 189,  3 593,  2 871,  2 277,  1 973,  1 616,  1 314,  1 051,   790,   542,   305,   117,   29,   3,   0,0
8556,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1991,  8 470,  8 066,  7 038,  5 893,  4 859,  4 266,  3 705,  2 997,  2 338,  2 029,  1 660,  1 341,  1 070,   805,   552,   312,   120,   29,   3,   0,0
8557,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1992,  8 409,  8 107,  7 240,  6 065,  5 027,  4 351,  3 809,  3 116,  2 407,  2 077,  1 704,  1 371,  1 089,   819,   562,   318,   124,   29,   3,   0,0
8558,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1993,  8 356,  8 130,  7 435,  6 238,  5 229,  4 452,  3 901,  3 226,  2 496,  2 108,  1 748,  1 402,  1 110,   834,   573,   324,   127,   29,   3,   0,   0
