,,,,,,,,,,,Male population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
8539,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1974,  6 939,  5 586,  4 831,  3 920,  3 061,  2 612,  2 354,  2 083,  1 787,  1 494,  1 258,  1 036,   816,   598,   384,   202,   81,   18,   2,   0,   0
8540,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1975,  7 176,  5 705,  4 949,  4 050,  3 195,  2 626,  2 394,  2 118,  1 825,  1 525,  1 283,  1 060,   838,   619,   404,   213,   88,   20,   2,   0,   0
8541,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1976,  7 409,  5 834,  5 031,  4 152,  3 323,  2 675,  2 444,  2 154,  1 861,  1 556,  1 305,  1 082,   861,   641,   424,   226,   94,   23,   3,   0,0
8542,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1977,  7 603,  6 003,  5 116,  4 244,  3 444,  2 742,  2 493,  2 189,  1 896,  1 589,  1 325,  1 105,   884,   662,   444,   240,   100,   26,   3,   0,0
8543,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1978,  7 764,  6 209,  5 205,  4 325,  3 557,  2 841,  2 526,  2 224,  1 931,  1 623,  1 345,  1 126,   908,   682,   463,   255,   106,   29,   4,   0,   0
8544,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1979,  7 920,  6 430,  5 300,  4 395,  3 659,  2 974,  2 541,  2 263,  1 965,  1 655,  1 367,  1 146,   930,   702,   482,   270,   112,   32,   4,   0,   0
8545,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1980,  8 075,  6 663,  5 403,  4 457,  3 752,  3 110,  2 567,  2 307,  1 998,  1 686,  1 390,  1 166,   951,   723,   500,   285,   119,   35,   5,   0,   0
8546,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1981,  8 231,  6 893,  5 551,  4 547,  3 850,  3 235,  2 616,  2 359,  2 036,  1 722,  1 420,  1 187,   971,   742,   518,   299,   126,   37,   5,   0,   0
8547,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1982,  8 387,  7 090,  5 756,  4 676,  3 955,  3 356,  2 689,  2 418,  2 084,  1 768,  1 459,  1 209,   992,   762,   534,   312,   134,   39,   6,   0,   0
8548,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1983,  8 528,  7 257,  5 974,  4 808,  4 057,  3 473,  2 796,  2 466,  2 140,  1 821,  1 503,  1 234,  1 011,   781,   549,   324,   141,   41,   6,   0,   0
8549,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1984,  8 645,  7 421,  6 189,  4 937,  4 156,  3 582,  2 936,  2 496,  2 201,  1 875,  1 547,  1 260,  1 031,   798,   563,   336,   148,   43,   7,   0,   0
8550,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1985,  8 738,  7 584,  6 400,  5 061,  4 249,  3 688,  3 079,  2 536,  2 267,  1 930,  1 591,  1 290,  1 050,   814,   577,   346,   154,   45,   7,   0,   0
8551,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1986,  8 804,  7 746,  6 596,  5 183,  4 341,  3 791,  3 212,  2 599,  2 337,  1 986,  1 635,  1 322,  1 069,   829,   590,   355,   160,   47,   8,   0,   0
8552,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1987,  8 840,  7 908,  6 755,  5 324,  4 438,  3 894,  3 340,  2 680,  2 406,  2 043,  1 683,  1 357,  1 087,   843,   602,   363,   164,   48,   8,   0,   0
8553,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1988,  8 854,  8 057,  6 887,  5 481,  4 538,  3 993,  3 462,  2 792,  2 460,  2 102,  1 732,  1 394,  1 105,   856,   613,   369,   168,   50,   8,   1,   0
8554,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1989,  8 857,  8 184,  7 022,  5 643,  4 637,  4 087,  3 576,  2 935,  2 496,  2 165,  1 783,  1 431,  1 125,   868,   623,   375,   171,   51,   8,   1,   0
8555,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1990,  8 850,  8 292,  7 167,  5 811,  4 736,  4 177,  3 684,  3 081,  2 541,  2 233,  1 835,  1 467,  1 147,   880,   631,   379,   172,   51,   8,   1,   0
8556,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1991,  8 807,  8 368,  7 341,  5 998,  4 846,  4 263,  3 787,  3 212,  2 602,  2 301,  1 888,  1 505,  1 170,   890,   637,   383,   173,   51,   8,   1,   0
8557,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1992,  8 740,  8 418,  7 544,  6 188,  4 994,  4 356,  3 884,  3 330,  2 671,  2 361,  1 938,  1 544,  1 196,   900,   643,   386,   173,   51,   8,   1,   0
8558,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1993,  8 676,  8 454,  7 731,  6 366,  5 173,  4 458,  3 978,  3 439,  2 762,  2 398,  1 986,  1 584,  1 224,   911,   649,   389,   173,   51,   8,   0,   0
8559,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1994,  8 618,  8 479,  7 893,  6 560,  5 367,  4 563,  4 067,  3 542,  2 885,  2 416,  2 038,  1 626,  1 252,   924,   654,   391,   173,   51,   8,   0,   0
8560,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1995,  8 571,  8 493,  8 027,  6 771,  5 577,  4 672,  4 152,  3 641,  3 012,  2 443,  2 094,  1 669,  1 280,   939,   660,   393,   173,   50,   8,   0,   0
8561,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1996,  8 553,  8 483,  8 120,  6 984,  5 790,  4 791,  4 239,  3 738,  3 129,  2 488,  2 150,  1 713,  1 310,   956,   667,   396,   174,   50,   7,   0,   0
8562,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1997,  8 601,  8 448,  8 174,  7 191,  5 982,  4 943,  4 333,  3 834,  3 242,  2 550,  2 203,  1 757,  1 343,   977,   675,   399,   175,   50,   7,   0,   0
8563,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1998,  8 713,  8 403,  8 204,  7 374,  6 161,  5 123,  4 435,  3 927,  3 350,  2 640,  2 240,  1 802,  1 379,  1 000,   684,   404,   176,   50,   7,   0,   0
8564,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1999,  8 849,  8 363,  8 224,  7 524,  6 351,  5 318,  4 542,  4 016,  3 451,  2 760,  2 258,  1 851,  1 418,  1 025,   695,   409,   179,   50,   8,   0,   0
8565,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2000,  8 999,  8 330,  8 208,  7 618,  6 545,  5 530,  4 656,  4 102,  3 547,  2 880,  2 281,  1 903,  1 459,  1 052,   710,   417,   182,   51,   8,   0,   0
8566,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2001,  9 154,  8 323,  8 206,  7 679,  6 702,  5 694,  4 742,  4 165,  3 629,  2 986,  2 321,  1 953,  1 498,  1 079,   725,   424,   186,   52,   7,   0,   0
