,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,World Population Prospects 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"File POP/02-2: Male population by five-year age group, region, subregion and country, annually for 1950-2100 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Estimates, 1950 - 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,POP/DB/WPP/Rev.2024/POP/F02-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"© July 2024 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2024).
	World Population Prospects 2024, Online Edition.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Male population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
1,Estimates,World,,900,,,1,World,0,1950,  175 212,  136 287,  131 652,  120 364,  111 117,  95 828,  80 835,  78 219,  70 931,  61 448,  50 627,  40 629,  32 912,  23 832,  15 954,  9 399,  4 326,  1 476,   332,   48,   4
2,Estimates,World,,900,,,1,World,0,1951,  182 112,  138 286,  132 557,  121 939,  112 785,  98 144,  82 604,  78 168,  71 843,  62 575,  51 816,  41 446,  33 138,  24 183,  16 075,  9 498,  4 345,  1 471,   330,   45,   4
3,Estimates,World,,900,,,1,World,0,1952,  188 559,  142 362,  132 845,  123 959,  114 048,  100 690,  84 951,  77 813,  72 694,  63 685,  53 049,  42 374,  33 361,  24 648,  16 237,  9 584,  4 385,  1 473,   327,   45,   4
4,Estimates,World,,900,,,1,World,0,1953,  195 173,  147 680,  132 706,  125 945,  115 073,  103 459,  87 678,  77 305,  73 602,  64 782,  54 345,  43 340,  33 639,  25 204,  16 467,  9 654,  4 448,  1 479,   328,   44,   4
5,Estimates,World,,900,,,1,World,0,1954,  201 218,  154 114,  132 880,  127 586,  116 128,  105 912,  90 538,  77 130,  74 453,  65 917,  55 703,  44 308,  34 067,  25 723,  16 749,  9 722,  4 509,  1 494,   331,   44,   4
