,,,,,,,,,,,"Total population by five-year age group, both sexes combined (thousands)",,,,,,,,,,,,,,,,,,,,,,CORRECTED (WITHOUT GAP),,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,NO OF CHILDREN(<15 YRS),(15-64 YRS),NO OF ADULT(>65 YRS),CHILD + ADULT,CDR(WORLD),ADR(WORLD),TDR(WORLD)
13,Estimates,World,,900,,,1,World,0,1962,  438 973,  397 048,  337 275,  268 754,  250 014,  232 097,  214 414,  191 165,  160 508,  144 320,  132 140,  111 662,  88 596,  65 186,  45 025,  27 211,  12 982,  4 689,  1 134,   169,   14,,438972.6380 ,397048.4600 ,337274.5975 ,268753.6920 ,250014.4245 ,232096.8420 ,214413.6725 ,191164.6390 ,160507.8600 ,144319.8115 ,132140.0885 ,111661.7850 ,88595.8545 ,65185.7765 ,45025.0215 ,27210.5250 ,12982.4945 ,4689.3950 ,1133.5420 ,168.8190 ,14.3765 ,1173295.6955 ,1793668.6695 ,156409.9500 ,1329705.6455 ,0.654131789,0.087201138,0.741332927
14,Estimates,World,,900,,,1,World,0,1963,  452 062,  404 566,  349 875,  279 193,  250 232,  235 908,  216 376,  195 713,  166 109,  143 281,  134 166,  113 945,  91 066,  66 910,  45 705,  28 162,  13 370,  4 808,  1 174,   174,   15,,452062.2175 ,404566.0315 ,349875.0325 ,279192.5255 ,250232.0305 ,235907.9595 ,216375.5930 ,195713.3235 ,166109.0450 ,143280.6025 ,134166.0640 ,113944.5155 ,91065.5615 ,66909.6000 ,45705.4475 ,28161.5765 ,13369.5335 ,4808.3350 ,1173.8135 ,174.1910 ,14.8285 ,1206503.2815 ,1825987.2205 ,160317.3255 ,1366820.6070 ,0.660740266,0.087797616,0.748537882
15,Estimates,World,,900,,,1,World,0,1964,  469 172,  408 868,  361 553,  291 636,  250 811,  239 297,  218 231,  199 784,  171 694,  142 969,  136 071,  116 313,  93 622,  68 607,  46 587,  29 083,  13 828,  4 942,  1 221,   183,   16,,469172.2075 ,408868.1180 ,361552.5780 ,291636.3375 ,250811.1750 ,239296.5945 ,218230.8625 ,199783.8645 ,171694.2140 ,142968.9750 ,136070.6255 ,116312.8350 ,93621.5080 ,68607.4780 ,46586.9530 ,29083.4410 ,13828.0350 ,4941.9960 ,1221.3730 ,182.6400 ,15.5285 ,1239592.9035 ,1860426.9915 ,164467.4445 ,1404060.3480 ,0.666294839,0.088403063,0.754697902
16,Estimates,World,,900,,,1,World,0,1965,  485 583,  410 353,  372 449,  306 204,  251 926,  241 944,  220 417,  203 403,  176 608,  144 701,  137 237,  118 711,  95 872,  70 667,  47 836,  29 709,  14 315,  5 110,  1 278,   193,   16,,485583.2055 ,410352.9855 ,372448.7355 ,306204.2765 ,251925.9555 ,241943.9495 ,220416.6890 ,203403.1160 ,176608.1055 ,144701.4150 ,137236.9580 ,118711.4080 ,95872.4205 ,70666.9630 ,47836.2575 ,29709.0815 ,14314.5310 ,5109.7470 ,1278.2740 ,193.3075 ,16.3220 ,1268384.9265 ,1897024.2935 ,169124.4835 ,1437509.4100 ,0.668618178,0.089152513,0.757770691
17,Estimates,World,,900,,,1,World,0,1966,  501 321,  411 620,  382 189,  319 846,  255 748,  244 058,  223 266,  206 581,  180 811,  148 669,  137 239,  120 742,  97 920,  72 867,  49 254,  30 237,  14 821,  5 294,  1 338,   204,   17,,501321.1360 ,411620.2790 ,382188.7670 ,319846.3545 ,255748.4890 ,244057.6150 ,223266.0670 ,206581.0050 ,180811.4895 ,148668.5240 ,137238.5675 ,120741.6665 ,97920.3830 ,72866.6180 ,49253.6750 ,30236.6990 ,14820.9575 ,5294.4315 ,1337.7005 ,203.7140 ,16.9865 ,1295130.1820 ,1934880.1610 ,174030.7820 ,1469160.9640 ,0.669359378,0.089943959,0.759303338
18,Estimates,World,,900,,,1,World,0,1967,  511 678,  416 459,  391 117,  332 358,  263 665,  245 024,  226 908,  209 023,  185 130,  153 771,  136 431,  122 667,  100 147,  75 004,  50 750,  30 797,  15 366,  5 490,  1 394,   215,   18,,511678.3030 ,416459.4175 ,391116.8605 ,332357.5590 ,263665.2530 ,245023.6010 ,226907.5970 ,209022.5790 ,185129.6405 ,153771.1780 ,136430.8965 ,122667.4680 ,100147.0290 ,75004.3045 ,50749.9310 ,30797.0950 ,15366.2845 ,5490.4150 ,1394.1730 ,215.3405 ,17.9545 ,1319254.5810 ,1975122.8010 ,179035.4980 ,1498290.0790 ,0.667935472,0.090645249,0.758580721
19,Estimates,World,,900,,,1,World,0,1968,  515 963,  428 926,  398 880,  344 972,  274 045,  245 187,  230 601,  210 880,  189 646,  159 375,  135 426,  124 679,  102 359,  77 268,  52 232,  31 379,  15 969,  5 709,  1 447,   226,   19,,515962.9170 ,428925.9220 ,398880.1775 ,344972.3105 ,274044.8495 ,245186.8240 ,230600.7155 ,210880.1575 ,189645.9460 ,159374.9325 ,135426.2435 ,124679.0005 ,102358.6435 ,77268.1595 ,52231.6640 ,31379.1995 ,15969.4140 ,5708.5220 ,1446.6245 ,226.0210 ,19.0070 ,1343769.0165 ,2017169.6230 ,184248.6115 ,1528017.6280 ,0.666165602,0.091340168,0.75750577
20,Estimates,World,,900,,,1,World,0,1969,  520 508,  445 533,  403 437,  356 689,  286 454,  245 746,  233 937,  212 635,  193 653,  164 950,  135 177,  126 550,  104 664,  79 574,  53 685,  32 063,  16 541,  5 944,  1 497,   236,   20,,520507.7800 ,445533.2640 ,403437.2820 ,356688.6250 ,286454.1895 ,245745.7425 ,233936.5515 ,212635.1365 ,193652.8795 ,164949.7985 ,135176.6500 ,126549.6780 ,104664.3140 ,79574.4750 ,53684.9635 ,32062.9200 ,16541.1630 ,5943.5130 ,1497.0630 ,235.6270 ,19.9640 ,1369478.3260 ,2060453.5650 ,189559.6885 ,1559038.0145 ,0.664648963,0.09199901,0.756647974
21,Estimates,World,,900,,,1,World,0,1970,  526 956,  461 759,  405 056,  367 607,  301 077,  246 900,  236 663,  214 776,  197 167,  169 995,  137 012,  127 763,  106 915,  81 664,  55 383,  32 967,  16 978,  6 208,  1 566,   249,   21,,526956.3965 ,461758.8335 ,405055.7845 ,367606.5845 ,301077.3590 ,246900.0310 ,236662.6750 ,214776.2555 ,197166.9540 ,169995.2405 ,137011.5775 ,127763.2175 ,106914.9240 ,81663.9510 ,55382.5280 ,32967.4870 ,16978.3225 ,6208.4930 ,1566.4680 ,249.4610 ,21.2500 ,1393771.0145 ,2105874.8185 ,195037.9605 ,1588808.9750 ,0.661848939,0.092616123,0.754465062
22,Estimates,World,,900,,,1,World,0,1971,  534 033,  477 498,  406 322,  377 354,  314 693,  250 754,  238 768,  217 656,  200 229,  174 258,  141 047,  127 776,  108 848,  83 549,  57 258,  34 044,  17 347,  6 482,  1 642,   266,   23,,534032.6710 ,477498.4830 ,406322.4130 ,377353.5885 ,314693.0330 ,250753.6920 ,238768.0180 ,217656.4990 ,200229.3740 ,174257.8565 ,141047.1085 ,127775.6975 ,108848.3810 ,83549.4775 ,57258.1130 ,34044.2335 ,17346.6415 ,6481.7140 ,1642.1555 ,265.9555 ,22.7600 ,1417853.5670 ,2151383.2480 ,200611.0505 ,1618464.6175 ,0.659042766,0.093247473,0.752290239
