,,,,,,,,,,,"Total population by five-year age group, both sexes combined (thousands)",,,,,,,,,,,,,,,,,,,,,,CORRECTED (WITHOUT GAP),,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,NO OF CHILDREN(<15 YRS),(15-64 YRS),NO OF ADULT(>65 YRS),CHILD + ADULT,CDR(WORLD),ADR(WORLD),TDR(WORLD)
33,Estimates,World,,900,,,1,World,0,1982,  570 400,  526 106,  513 725,  477 424,  402 389,  377 042,  317 901,  249 621,  229 142,  208 322,  187 301,  160 350,  125 308,  100 612,  77 936,  49 921,  25 912,  9 960,  2 758,   495,   49,,570399.8470 ,526106.4860 ,513724.6220 ,477423.5645 ,402388.8675 ,377041.6920 ,317900.9610 ,249621.1875 ,229142.1680 ,208322.4630 ,187300.7170 ,160349.6090 ,125307.8770 ,100611.9360 ,77935.6285 ,49920.9865 ,25911.8810 ,9960.2620 ,2758.1370 ,495.0505 ,49.4780 ,1610230.9550 ,2734799.1065 ,267643.3595 ,1877874.3145 ,0.588793141,0.097865821,0.686658962
34,Estimates,World,,900,,,1,World,0,1983,  581 811,  525 576,  519 347,  482 029,  414 677,  385 081,  330 506,  260 091,  229 768,  212 159,  189 303,  164 403,  130 507,  99 965,  79 718,  51 450,  27 047,  10 423,  2 885,   531,   54,,581810.6260 ,525575.9205 ,519346.6310 ,482029.0815 ,414676.8410 ,385081.3995 ,330505.6545 ,260090.7955 ,229768.1565 ,212159.0050 ,189302.5090 ,164402.5870 ,130506.6905 ,99964.6710 ,79718.3000 ,51450.1980 ,27046.5475 ,10422.5000 ,2884.5120 ,531.1415 ,53.8060 ,1626733.1775 ,2798522.7200 ,272071.6760 ,1898804.8535 ,0.58128282,0.097219749,0.678502568
35,Estimates,World,,900,,,1,World,0,1984,  591 667,  527 553,  522 035,  486 842,  430 908,  389 918,  342 329,  272 469,  230 734,  215 698,  191 180,  168 078,  135 536,  100 082,  81 401,  53 033,  28 169,  10 892,  3 027,   566,   58,,591666.6555 ,527552.7795 ,522034.9030 ,486842.4300 ,430907.7165 ,389918.3090 ,342328.5370 ,272469.1635 ,230733.8470 ,215698.0035 ,191179.9935 ,168077.9570 ,135535.9915 ,100082.2570 ,81400.6415 ,53033.0590 ,28168.9930 ,10892.0600 ,3027.4570 ,566.2985 ,58.4665 ,1641254.3380 ,2863691.9485 ,277229.2325 ,1918483.5705 ,0.573125311,0.096808329,0.66993364
36,Estimates,World,,900,,,1,World,0,1985,  601 095,  533 139,  522 501,  493 637,  446 960,  391 868,  353 446,  287 044,  232 301,  218 663,  193 427,  171 409,  139 850,  101 958,  82 525,  54 609,  29 210,  11 454,  3 187,   597,   63,,601095.1505 ,533138.8500 ,522501.2955 ,493636.5080 ,446959.7855 ,391868.1465 ,353446.0750 ,287044.2000 ,232300.7395 ,218663.3685 ,193426.6860 ,171408.9810 ,139849.9190 ,101958.4270 ,82524.5830 ,54609.4705 ,29210.4720 ,11453.5000 ,3187.2995 ,596.7500 ,63.2585 ,1656735.2960 ,2928604.4090 ,283603.7605 ,1940339.0565 ,0.565708121,0.096839218,0.662547338
37,Estimates,World,,900,,,1,World,0,1986,  610 851,  541 273,  521 653,  501 372,  462 476,  393 400,  363 510,  300 729,  236 446,  221 196,  196 439,  174 410,  143 581,  105 550,  82 778,  56 051,  30 226,  12 089,  3 347,   625,   69,,610851.3515 ,541273.0760 ,521652.9160 ,501372.3085 ,462475.8055 ,393399.6095 ,363510.3570 ,300729.0030 ,236446.3770 ,221196.3690 ,196439.3025 ,174410.2025 ,143581.4380 ,105549.6345 ,82777.8430 ,56051.2370 ,30225.9975 ,12089.2285 ,3347.2745 ,624.6405 ,68.8665 ,1673777.3435 ,2993560.7725 ,290734.7220 ,1964512.0655 ,0.559125894,0.097120033,0.656245927
38,Estimates,World,,900,,,1,World,0,1987,  620 494,  552 136,  520 802,  509 331,  472 716,  398 218,  372 571,  313 277,  244 567,  222 853,  200 200,  176 956,  147 349,  109 978,  82 446,  57 536,  31 313,  12 747,  3 526,   655,   75,,620493.5190 ,552136.1420 ,520801.6485 ,509330.8380 ,472716.4785 ,398218.2875 ,372571.1345 ,313277.3150 ,244566.7235 ,222852.5100 ,200200.0780 ,176956.1240 ,147348.5120 ,109978.4245 ,82446.1395 ,57535.8420 ,31312.7210 ,12747.0285 ,3526.1640 ,655.2985 ,75.4690 ,1693431.3095 ,3058038.0010 ,298277.0870 ,1991708.3965 ,0.553763985,0.097538712,0.651302697
39,Estimates,World,,900,,,1,World,0,1988,  629 808,  563 737,  520 384,  515 106,  477 028,  410 225,  380 398,  325 914,  255 000,  223 727,  204 015,  179 118,  151 266,  114 859,  82 003,  59 081,  32 428,  13 411,  3 716,   687,   82,,629807.7045 ,563737.4965 ,520383.6550 ,515105.7095 ,477028.0465 ,410225.0800 ,380397.8250 ,325914.4395 ,254999.8905 ,223727.2290 ,204014.5395 ,179117.8235 ,151266.2950 ,114859.3050 ,82002.8460 ,59080.5665 ,32427.8795 ,13410.8265 ,3716.2365 ,687.1595 ,81.9885 ,1713928.8560 ,3121796.8780 ,306266.8080 ,2020195.6640 ,0.549019979,0.098105937,0.647125916
40,Estimates,World,,900,,,1,World,0,1989,  639 046,  573 927,  522 374,  517 816,  481 842,  426 155,  385 172,  337 642,  267 287,  224 882,  207 585,  181 042,  154 871,  119 522,  82 317,  60 537,  33 629,  14 062,  3 914,   722,   88,,639046.3145 ,573926.5445 ,522374.1540 ,517816.1840 ,481841.8215 ,426154.8335 ,385172.2195 ,337642.2495 ,267286.7075 ,224881.7095 ,207584.9485 ,181041.8110 ,154870.5055 ,119522.1470 ,82316.8915 ,60537.4975 ,33628.8770 ,14062.1335 ,3913.7550 ,722.3690 ,88.0585 ,1735347.0130 ,3184292.9900 ,314791.7290 ,2050138.7420 ,0.544970899,0.098857652,0.643828551
41,Estimates,World,,900,,,1,World,0,1990,  647 145,  583 622,  527 796,  518 144,  488 967,  442 108,  387 270,  348 617,  281 780,  226 533,  210 720,  183 341,  158 048,  123 448,  84 174,  61 646,  34 763,  14 683,  4 144,   762,   93,,647145.3110 ,583621.6730 ,527795.9200 ,518144.4475 ,488966.9815 ,442107.5680 ,387269.9155 ,348616.6865 ,281780.2775 ,226532.5675 ,210719.8280 ,183340.5335 ,158048.4435 ,123448.4805 ,84174.4125 ,61645.9370 ,34762.7415 ,14682.9460 ,4143.6535 ,761.5395 ,93.2465 ,1758562.9040 ,3245527.2490 ,323712.9570 ,2082275.8610 ,0.541841978,0.099741254,0.641583232
42,Estimates,World,,900,,,1,World,0,1991,  650 732,  593 600,  535 950,  517 190,  496 783,  457 570,  389 026,  358 581,  295 396,  230 568,  213 315,  186 333,  160 930,  126 921,  87 414,  62 016,  35 817,  15 289,  4 408,   801,   97,,650732.1965 ,593599.7160 ,535950.1980 ,517190.0085 ,496782.7430 ,457569.5640 ,389025.5990 ,358581.0695 ,295396.2805 ,230568.0085 ,213315.3230 ,186332.5290 ,160929.5615 ,126920.7445 ,87413.5805 ,62015.7715 ,35817.2985 ,15289.1595 ,4408.2540 ,801.0450 ,97.2410 ,1780282.1105 ,3305690.6865 ,332763.0945 ,2113045.2050 ,0.538550723,0.100663712,0.639214435
43,Estimates,World,,900,,,1,World,0,1992,  648 926,  603 573,  547 163,  516 305,  504 418,  467 689,  393 890,  367 555,  307 723,  238 382,  214 931,  189 840,  163 497,  130 363,  91 285,  61 876,  37 005,  15 927,  4 695,   848,   100,,648925.8565 ,603573.2340 ,547163.0355 ,516305.0450 ,504417.7425 ,467688.8045 ,393890.3625 ,367555.1070 ,307723.1200 ,238381.5995 ,214930.9295 ,189839.6885 ,163496.6095 ,130362.5205 ,91284.7025 ,61875.5585 ,37005.2080 ,15927.1340 ,4695.3960 ,847.6680 ,100.4940 ,1799662.1260 ,3364229.0085 ,342098.6815 ,2141760.8075 ,0.534940434,0.101687097,0.636627531
44,Estimates,World,,900,,,1,World,0,1993,  645 336,  613 323,  559 204,  515 777,  509 655,  471 875,  405 788,  375 305,  320 076,  248 521,  215 776,  193 534,  165 591,  133 904,  95 553,  61 588,  38 187,  16 578,  4 971,   899,   103,,645336.1195 ,613323.1860 ,559204.2350 ,515777.1700 ,509654.7140 ,471875.1770 ,405788.0265 ,375304.8490 ,320076.1400 ,248520.6370 ,215776.2375 ,193534.2505 ,165590.9250 ,133904.0120 ,95552.8640 ,61587.5740 ,38187.1005 ,16578.1160 ,4971.2340 ,899.1965 ,103.0330 ,1817863.5405 ,3421898.1265 ,351783.1300 ,2169646.6705 ,0.531244202,0.102803508,0.63404771
45,Estimates,World,,900,,,1,World,0,1994,  640 546,  622 816,  569 732,  517 846,  511 970,  476 361,  421 447,  379 919,  331 436,  260 450,  216 759,  196 990,  167 411,  137 188,  99 661,  62 146,  39 295,  17 280,  5 236,   956,   106,,640546.1985 ,622815.5685 ,569732.0905 ,517845.8505 ,511969.6025 ,476361.0485 ,421446.9580 ,379919.2145 ,331435.7575 ,260449.9570 ,216758.9545 ,196989.8820 ,167411.4155 ,137188.3935 ,99661.4075 ,62145.9380 ,39294.6280 ,17280.3515 ,5235.9805 ,955.7175 ,106.3410 ,1833093.8575 ,3480588.6405 ,361868.7575 ,2194962.6150 ,0.526662024,0.103967689,0.630629713
46,Estimates,World,,900,,,1,World,0,1995,  634 154,  631 424,  579 927,  523 850,  512 158,  482 897,  436 811,  381 744,  341 908,  274 457,  218 136,  199 951,  169 630,  140 141,  103 099,  63 857,  40 139,  17 965,  5 495,  1 025,   111,,634154.0810 ,631424.1590 ,579927.0535 ,523849.9705 ,512158.1320 ,482896.7385 ,436810.8385 ,381743.7300 ,341908.3275 ,274456.6360 ,218136.2010 ,199950.5650 ,169629.8415 ,140141.1230 ,103099.2190 ,63856.5970 ,40138.5965 ,17965.4025 ,5494.9245 ,1025.4480 ,111.3975 ,1845505.2935 ,3541540.9805 ,371832.7080 ,2217338.0015 ,0.52110234,0.104991785,0.626094125
47,Estimates,World,,900,,,1,World,0,1996,  629 365,  635 973,  590 544,  532 709,  511 148,  490 137,  451 618,  383 124,  351 457,  287 609,  221 916,  202 409,  172 531,  142 885,  106 150,  66 417,  40 470,  18 624,  5 750,  1 102,   118,,629364.5710 ,635973.1145 ,590544.1910 ,532709.1925 ,511147.6300 ,490137.4235 ,451618.0275 ,383123.9090 ,351457.0640 ,287608.5250 ,221915.6645 ,202409.1285 ,172531.1580 ,142885.1335 ,106150.3340 ,66417.0590 ,40470.0695 ,18623.6045 ,5750.3445 ,1101.5360 ,118.0535 ,1855881.8765 ,3604657.7225 ,381516.1345 ,2237398.0110 ,0.514856616,0.105839767,0.620696383
48,Estimates,World,,900,,,1,World,0,1997,  627 308,  634 882,  600 776,  544 398,  510 443,  497 445,  461 280,  387 658,  360 174,  299 585,  229 494,  203 979,  175 912,  145 363,  109 182,  69 711,  40 505,  19 364,  6 023,  1 179,   127,,627307.6970 ,634881.9575 ,600776.2705 ,544397.6610 ,510442.9825 ,497444.9555 ,461279.5050 ,387658.4650 ,360174.1295 ,299584.7730 ,229494.1045 ,203979.3505 ,175912.0985 ,145362.8170 ,109181.5865 ,69711.3925 ,40505.1640 ,19364.4635 ,6022.5895 ,1178.9710 ,126.8825 ,1862965.9250 ,3670368.0250 ,391453.8665 ,2254419.7915 ,0.507569244,0.106652484,0.614221728
49,Estimates,World,,900,,,1,World,0,1998,  626 110,  631 493,  610 337,  556 561,  510 489,  502 707,  465 309,  399 403,  367 863,  311 675,  239 384,  204 858,  179 443,  147 465,  112 360,  73 274,  40 501,  20 123,  6 318,  1 256,   138,,626110.0965 ,631492.7800 ,610337.4995 ,556561.0740 ,510489.2490 ,502706.7360 ,465308.6570 ,399402.8600 ,367863.3215 ,311675.0760 ,239384.1705 ,204857.7650 ,179442.7170 ,147465.3075 ,112359.9905 ,73274.1795 ,40501.1835 ,20122.6820 ,6317.5485 ,1256.0435 ,137.7525 ,1867940.3760 ,3737691.6260 ,401434.6875 ,2269375.0635 ,0.499757755,0.107401768,0.607159523
50,Estimates,World,,900,,,1,World,0,1999,  625 630,  626 762,  619 637,  567 093,  513 074,  505 161,  469 791,  415 018,  372 602,  322 931,  251 152,  205 959,  182 792,  149 388,  115 366,  76 714,  40 979,  20 843,  6 636,  1 330,   150,,625629.7920 ,626762.4165 ,619636.7810 ,567092.8430 ,513073.8260 ,505161.3725 ,469790.7470 ,415017.7045 ,372601.9160 ,322931.0610 ,251151.9345 ,205959.3535 ,182792.2600 ,149387.8490 ,115365.7100 ,76714.0965 ,40978.6410 ,20843.0915 ,6635.7035 ,1329.7065 ,149.5340 ,1872028.9895 ,3805573.0180 ,411404.3320 ,2283433.3215 ,0.491917769,0.108105752,0.600023521
51,Estimates,World,,900,,,1,World,0,2000,  626 536,  620 435,  628 035,  577 189,  519 346,  505 466,  476 355,  430 309,  374 595,  333 384,  265 011,  207 488,  185 732,  151 643,  118 137,  79 668,  42 479,  21 396,  6 942,  1 397,   162,,626535.6965 ,620435.3445 ,628035.1725 ,577189.3390 ,519345.8410 ,505465.8950 ,476354.7395 ,430309.0965 ,374594.6300 ,333384.2040 ,265010.6120 ,207487.5030 ,185732.3770 ,151643.1175 ,118136.5235 ,79667.8285 ,42478.6450 ,21395.7885 ,6941.5795 ,1397.3510 ,161.7095 ,1875006.2135 ,3874874.2370 ,421822.5430 ,2296828.7565 ,0.483888276,0.108860964,0.592749239
52,Estimates,World,,900,,,1,World,0,2001,  628 669,  615 630,  632 279,  587 521,  528 206,  504 680,  483 703,  445 027,  376 029,  342 860,  277 967,  211 321,  188 227,  154 474,  120 746,  82 294,  44 737,  21 679,  7 248,  1 467,   174,,628668.8125 ,615629.5880 ,632278.9650 ,587521.1170 ,528206.1860 ,504680.2295 ,483703.0065 ,445026.9155 ,376029.0175 ,342859.8380 ,277966.5785 ,211320.5925 ,188226.7020 ,154474.4425 ,120746.0670 ,82294.0875 ,44737.2785 ,21678.7885 ,7247.7875 ,1466.7435 ,173.7160 ,1876577.3655 ,3945540.1830 ,432818.9110 ,2309396.2765 ,0.475619884,0.109698265,0.585318149
53,Estimates,World,,900,,,1,World,0,2002,  631 413,  613 842,  631 143,  597 397,  539 432,  504 062,  491 020,  454 639,  380 536,  351 513,  289 763,  218 831,  189 930,  157 754,  123 143,  84 896,  47 281,  21 822,  7 587,  1 541,   184,,631412.7620 ,613841.6510 ,631143.2460 ,597397.3700 ,539431.5615 ,504061.9915 ,491019.6745 ,454639.3865 ,380535.7030 ,351513.3400 ,289763.4045 ,218831.1485 ,189930.4160 ,157754.2155 ,123143.0240 ,84896.4260 ,47281.1230 ,21821.7260 ,7586.6050 ,1541.2065 ,184.3610 ,1876397.6590 ,4017123.9960 ,444208.6870 ,2320606.3460 ,0.467099761,0.110578784,0.577678545
54,Estimates,World,,900,,,1,World,0,2003,  634 725,  613 313,  627 957,  606 679,  551 114,  504 147,  496 208,  458 554,  392 032,  358 987,  301 535,  228 476,  191 004,  161 138,  125 226,  87 630,  49 955,  21 948,  7 924,  1 616,   194,,634725.2830 ,613312.8235 ,627956.8165 ,606679.1975 ,551114.2085 ,504147.0895 ,496208.3710 ,458553.6545 ,392032.2945 ,358987.3125 ,301534.8540 ,228475.7165 ,191004.0080 ,161137.5650 ,125226.2085 ,87630.2725 ,49954.8170 ,21947.5675 ,7924.1595 ,1615.7570 ,193.6570 ,1875994.9230 ,4088736.7065 ,455630.0040 ,2331624.9270 ,0.458820183,0.111435398,0.570255581
55,Estimates,World,,900,,,1,World,0,2004,  638 468,  613 564,  623 465,  615 827,  561 295,  506 797,  498 729,  462 963,  407 303,  363 443,  312 440,  239 876,  192 290,  164 337,  127 170,  90 258,  52 559,  22 403,  8 282,  1 705,   203,,638468.4165 ,613564.2645 ,623465.1945 ,615826.6670 ,561295.3235 ,506797.4855 ,498729.0505 ,462963.3045 ,407302.6990 ,363442.8710 ,312440.3570 ,239875.8580 ,192289.7935 ,164337.1370 ,127169.7270 ,90257.5965 ,52558.5575 ,22403.4570 ,8281.8255 ,1704.7095 ,203.4770 ,1875497.8755 ,4160963.4095 ,466916.4870 ,2342414.3625 ,0.45073645,0.112213553,0.562950003
56,Estimates,World,,900,,,1,World,0,2005,  641 821,  615 224,  617 433,  624 240,  571 043,  512 888,  499 115,  469 505,  422 344,  365 223,  322 584,  253 320,  193 979,  167 219,  129 418,  92 666,  54 857,  23 493,  8 580,  1 802,   214,,641820.9535 ,615224.3125 ,617432.7645 ,624240.1690 ,571042.9370 ,512887.6185 ,499114.9400 ,469504.8545 ,422344.1940 ,365223.0990 ,322584.3770 ,253320.1375 ,193979.3060 ,167219.2855 ,129418.0455 ,92665.8980 ,54857.4585 ,23493.4205 ,8579.5405 ,1802.4555 ,214.3645 ,1874478.0305 ,4234241.6325 ,478250.4685 ,2352728.4990 ,0.442695102,0.112948318,0.555643419
57,Estimates,World,,900,,,1,World,0,2006,  645 168,  618 013,  613 001,  628 558,  580 901,  521 365,  498 411,  477 029,  437 100,  366 656,  331 797,  265 923,  197 878,  169 750,  132 136,  94 993,  56 901,  25 004,  8 742,  1 899,   227,,645167.7775 ,618013.1275 ,613000.8645 ,628558.3815 ,580901.1445 ,521365.0525 ,498411.2475 ,477028.6670 ,437099.8460 ,366656.2840 ,331796.8405 ,265923.2265 ,197877.9785 ,169749.7225 ,132136.0735 ,94993.0045 ,56900.5895 ,25003.7135 ,8742.3990 ,1899.3395 ,226.7355 ,1876181.7695 ,4305618.6685 ,489651.5775 ,2365833.3470 ,0.435751959,0.113723861,0.54947582
58,Estimates,World,,900,,,1,World,0,2007,  649 871,  620 925,  611 385,  627 386,  590 517,  532 423,  498 028,  484 769,  447 100,  371 341,  340 302,  277 347,  205 245,  171 572,  135 233,  97 205,  58 906,  26 643,  8 865,  2 005,   241,,649871.1610 ,620924.6395 ,611384.7960 ,627386.1010 ,590517.0550 ,532422.9750 ,498028.0740 ,484769.1535 ,447099.5215 ,371341.3920 ,340302.2225 ,277347.1615 ,205244.8095 ,171571.8260 ,135233.4975 ,97204.8810 ,58905.6940 ,26642.7510 ,8865.0790 ,2005.0385 ,240.9525 ,1882180.5965 ,4374458.4655 ,500669.7195 ,2382850.3160 ,0.430265966,0.11445296,0.544718926
59,Estimates,World,,900,,,1,World,0,2008,  656 123,  624 235,  610 852,  624 307,  599 873,  544 049,  498 184,  490 158,  451 504,  383 050,  347 751,  288 747,  214 575,  172 845,  138 400,  99 134,  60 995,  28 300,  9 007,  2 114,   255,,656122.8175 ,624235.1820 ,610852.2960 ,624307.2815 ,599873.0145 ,544049.3665 ,498183.9090 ,490157.6950 ,451503.7815 ,383050.4880 ,347750.7585 ,288747.1325 ,214574.5315 ,172844.6020 ,138400.1595 ,99134.4575 ,60994.6365 ,28299.8375 ,9006.5795 ,2114.0855 ,255.0500 ,1891210.2955 ,4442197.9585 ,511049.4080 ,2402259.7035 ,0.425737509,0.115044267,0.540781776
60,Estimates,World,,900,,,1,World,0,2009,  663 301,  628 070,  611 109,  620 144,  609 341,  554 223,  500 731,  492 543,  456 144,  398 540,  352 254,  299 425,  225 492,  174 332,  141 388,  100 978,  63 024,  29 923,  9 309,  2 223,   271,,663301.1190 ,628070.3100 ,611108.7510 ,620144.1780 ,609340.9325 ,554222.9570 ,500731.3670 ,492542.7930 ,456143.6915 ,398540.2660 ,352253.6165 ,299424.6965 ,225492.0970 ,174331.8485 ,141388.2455 ,100978.1855 ,63024.4155 ,29923.3395 ,9309.4795 ,2223.2915 ,270.8350 ,1902480.1800 ,4508836.5950 ,521449.6405 ,2423929.8205 ,0.421944805,0.115650596,0.537595402
61,Estimates,World,,900,,,1,World,0,2010,  670 391,  631 495,  612 686,  614 407,  618 347,  564 167,  506 746,  492 769,  462 644,  413 821,  354 195,  309 417,  238 302,  176 216,  144 145,  103 089,  64 973,  31 415,  9 910,  2 309,   287,,670391.4760 ,631495.1080 ,612686.4460 ,614407.3440 ,618347.1315 ,564167.3765 ,506745.5600 ,492768.6935 ,462643.8450 ,413821.2180 ,354194.5990 ,309416.7620 ,238302.1900 ,176216.1800 ,144145.1450 ,103088.5345 ,64973.0965 ,31415.2615 ,9909.8085 ,2309.0230 ,287.3495 ,1914573.0300 ,4574814.7195 ,532344.3985 ,2446917.4285 ,0.418502857,0.116364144,0.534867001
62,Estimates,World,,900,,,1,World,0,2011,  676 964,  635 194,  615 309,  610 042,  623 247,  574 384,  515 179,  492 042,  469 968,  428 608,  355 859,  318 488,  250 357,  180 163,  146 639,  105 567,  66 846,  32 741,  10 671,  2 355,   303,,676963.5040 ,635193.5665 ,615308.5420 ,610042.0100 ,623247.2615 ,574383.9905 ,515178.6010 ,492041.6770 ,469968.0145 ,428607.6750 ,355858.5155 ,318488.0045 ,250357.1230 ,180163.1530 ,146638.5595 ,105567.0100 ,66845.9270 ,32741.4245 ,10671.1690 ,2354.8805 ,303.1570 ,1927465.6125 ,4638172.8725 ,545285.2805 ,2472750.8930 ,0.415565712,0.117564674,0.533130386
63,Estimates,World,,900,,,1,World,0,2012,  683 540,  640 538,  618 166,  608 385,  622 375,  584 281,  526 254,  491 689,  477 489,  438 470,  360 730,  326 895,  261 373,  187 290,  148 585,  108 363,  68 613,  34 036,  11 426,  2 386,   320,,683539.9065 ,640538.1840 ,618165.6195 ,608385.2390 ,622374.5375 ,584280.7555 ,526253.9265 ,491688.9845 ,477488.9715 ,438470.4000 ,360730.0145 ,326895.3685 ,261373.2635 ,187289.5725 ,148584.6010 ,108362.8980 ,68612.9955 ,34035.6420 ,11425.9580 ,2385.7370 ,319.9095 ,1942243.7100 ,4697941.4610 ,561017.3135 ,2503261.0235 ,0.413424417,0.119417689,0.532842106
64,Estimates,World,,900,,,1,World,0,2013,  689 122,  647 396,  621 568,  607 768,  619 292,  593 785,  537 996,  491 873,  482 851,  442 789,  372 506,  334 253,  272 408,  196 155,  150 152,  111 237,  70 276,  35 427,  12 171,  2 431,   338,,689121.9215 ,647396.0735 ,621568.3110 ,607767.9435 ,619291.9080 ,593785.3615 ,537996.1935 ,491872.8415 ,482851.4700 ,442788.6385 ,372505.5565 ,334253.4515 ,272408.0205 ,196154.7685 ,150151.5120 ,111237.0645 ,70275.6165 ,35427.2015 ,12170.6100 ,2431.4070 ,337.7140 ,1958086.3060 ,4755521.3850 ,578185.8940 ,2536272.2000 ,0.411750079,0.12158202,0.533332099
65,Estimates,World,,900,,,1,World,0,2014,  692 944,  655 155,  625 624,  607 971,  614 984,  603 264,  548 224,  494 415,  485 333,  447 450,  387 952,  338 720,  282 716,  206 404,  151 895,  113 963,  71 945,  36 833,  12 926,  2 541,   356,,692944.1410 ,655155.2270 ,625624.3670 ,607970.5615 ,614984.3070 ,603263.5990 ,548223.7850 ,494414.5130 ,485333.1175 ,447449.6035 ,387951.9540 ,338720.0940 ,282716.2190 ,206404.1605 ,151895.4525 ,113963.4210 ,71945.1875 ,36832.6940 ,12926.1745 ,2541.2460 ,356.4195 ,1973723.7350 ,4811027.7535 ,596864.7555 ,2570588.4905 ,0.410249917,0.124061798,0.534311715
66,Estimates,World,,900,,,1,World,0,2015,  695 587,  662 782,  629 321,  609 670,  609 018,  612 074,  558 059,  500 465,  485 708,  454 094,  403 046,  340 721,  292 348,  218 445,  153 869,  116 519,  73 817,  38 199,  13 640,  2 739,   371,,695586.9715 ,662781.9515 ,629321.0235 ,609670.0935 ,609017.6245 ,612074.4440 ,558059.0540 ,500464.9910 ,485707.9670 ,454094.0305 ,403045.9725 ,340720.9850 ,292348.0370 ,218444.6395 ,153869.4145 ,116518.9300 ,73817.2445 ,38199.0580 ,13639.5880 ,2739.0955 ,370.7560 ,1987689.9465 ,4865203.1990 ,617598.7260 ,2605288.6725 ,0.408552298,0.126942021,0.535494319
67,Estimates,World,,900,,,1,World,0,2016,  697 616,  669 834,  633 154,  612 528,  604 602,  616 986,  568 145,  508 997,  484 943,  461 497,  417 485,  342 341,  301 033,  229 778,  157 609,  118 885,  75 943,  39 513,  14 291,  2 992,   381,,697616.1475 ,669833.6955 ,633154.0750 ,612528.3455 ,604602.4860 ,616986.3535 ,568144.9745 ,508996.7160 ,484942.9870 ,461496.9055 ,417485.2855 ,342341.1590 ,301032.9715 ,229777.6825 ,157609.4825 ,118885.0105 ,75942.9640 ,39512.9425 ,14291.4775 ,2991.5980 ,381.2660 ,2000603.9180 ,4918558.1840 ,639392.4235 ,2639996.3415 ,0.40674601,0.129995905,0.536741916
68,Estimates,World,,900,,,1,World,0,2017,  697 928,  677 039,  638 611,  615 571,  603 245,  616 414,  578 084,  520 021,  484 340,  468 848,  427 018,  346 917,  308 938,  240 061,  164 182,  120 805,  78 259,  40 764,  14 932,  3 247,   395,,697928.0790 ,677038.8720 ,638610.9050 ,615571.0940 ,603245.1180 ,616414.1715 ,578084.2040 ,520021.3420 ,484340.3885 ,468848.1895 ,427017.7365 ,346916.6410 ,308937.5420 ,240060.9745 ,164182.2390 ,120804.9125 ,78259.0395 ,40763.7260 ,14931.5865 ,3246.5925 ,394.6005 ,2013577.8560 ,4969396.4270 ,662643.6710 ,2676221.5270 ,0.405195658,0.1333449,0.538540558
69,Estimates,World,,900,,,1,World,0,2018,  695 282,  683 273,  645 556,  618 964,  603 179,  613 682,  587 863,  531 669,  484 282,  473 898,  431 171,  358 197,  315 747,  250 331,  172 314,  122 408,  80 603,  41 970,  15 614,  3 487,   413,,695282.0380 ,683273.3315 ,645556.0935 ,618963.9745 ,603178.5625 ,613681.6840 ,587863.2675 ,531669.3205 ,484281.9255 ,473898.0315 ,431170.8330 ,358197.1600 ,315746.5385 ,250330.8845 ,172313.8405 ,122408.0055 ,80603.0145 ,41970.4860 ,15614.2465 ,3486.7905 ,412.7520 ,2024111.4630 ,5018651.2975 ,687140.0200 ,2711251.4830 ,0.403317812,0.136917267,0.54023508
70,Estimates,World,,900,,,1,World,0,2019,  690 618,  687 454,  653 449,  622 823,  603 876,  609 714,  597 569,  541 903,  486 673,  476 092,  435 796,  373 080,  319 844,  259 968,  181 708,  124 140,  82 863,  43 224,  16 329,  3 728,   443,,690617.5370 ,687453.5195 ,653449.3235 ,622822.5590 ,603875.6580 ,609713.5705 ,597569.4940 ,541902.8185 ,486672.9305 ,476092.4350 ,435796.1255 ,373080.0400 ,319844.1415 ,259967.5910 ,181708.4230 ,124139.8000 ,82862.7715 ,43224.0865 ,16329.3570 ,3728.1220 ,443.3950 ,2031520.3800 ,5067369.7725 ,712403.5460 ,2743923.9260 ,0.400902336,0.140586454,0.54148879
71,Estimates,World,,900,,,1,World,0,2020,  683 431,  690 290,  661 339,  626 456,  605 907,  604 265,  606 463,  551 782,  492 545,  476 119,  442 213,  387 526,  321 340,  268 655,  192 383,  125 763,  84 782,  44 415,  16 935,  3 911,   480,,683431.0045 ,690290.3270 ,661339.1640 ,626455.8475 ,605906.7970 ,604265.4160 ,606463.1940 ,551782.3105 ,492545.3140 ,476119.4225 ,442212.7840 ,387525.5965 ,321339.5445 ,268655.2290 ,192383.2280 ,125763.4075 ,84782.4395 ,44414.6060 ,16935.2280 ,3910.8050 ,479.6270 ,2035060.4955 ,5114616.2265 ,737324.5700 ,2772385.0655 ,0.397891143,0.144160292,0.542051435
